Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
45,5,189,5,2,3,1,84,21,300,420,2,5
46,4,154,5,2,3,1,70,99,180,300,4,5
47,6,4,7,1,3,1,20,60,60,180,1,5
48,4,46,4,2,3,1,74,32,0,300,4,5
49,4,503,6,2,3,1,87,77,300,600,4,5
50,1,98,2,2,3,1,18,35,60,180,1,5
51,4,480,5,2,3,1,88,27,60,180,4,5
52,2,501,3,2,3,1,88,84,180,300,3,5
53,4,367,4,2,3,1,79,74,420,540,3,5
54,2,279,2,2,3,1,48,48,420,540,1,5
55,3,491,5,2,3,1,54,85,180,300,3,5
56,4,307,4,2,3,1,0,76,420,540,1,5
57,6,77,6,1,3,1,58,15,180,300,4,5
58,5,367,6,2,3,1,79,33,60,180,2,5
59,1,239,1,2,3,1,38,61,420,540,4,5
60,3,272,3,2,3,1,85,84,420,540,4,5
61,3,584,5,2,3,1,38,28,300,420,1,5
62,2,372,3,2,3,1,72,71,420,540,1,5
63,2,555,3,2,3,1,49,54,180,300,3,5
64,2,70,2,1,3,1,79,48,180,300,2,5
65,3,508,4,1,3,1,30,64,180,300,2,5
66,5,129,5,2,3,1,4,53,180,300,4,5
67,6,262,7,2,3,1,17,15,180,300,1,5
68,2,312,2,2,3,1,1,68,420,540,2,5
69,3,556,4,1,3,1,17,4,0,300,1,5
70,3,275,3,2,3,1,6,21,420,540,3,5
71,7,344,8,2,3,1,80,25,0,300,1,5
72,3,204,4,1,3,1,51,0,0,300,2,5
73,7,582,8,2,3,1,75,20,60,180,2,5
74,3,224,4,1,3,1,90,92,180,300,3,5
75,4,531,5,1,3,1,21,20,60,180,4,5
76,7,463,9,1,3,1,58,17,180,300,2,5
77,2,152,2,2,3,1,63,48,300,420,4,5
78,5,254,6,2,3,1,87,55,300,420,2,5
79,2,134,2,1,3,1,84,59,180,300,1,5
80,2,233,3,1,3,1,85,47,180,300,3,5
81,3,490,4,2,3,1,66,73,180,300,1,5
82,2,110,3,2,3,1,23,38,60,180,2,5
83,5,20,5,2,3,1,11,88,300,420,2,5
84,6,295,6,2,3,1,20,96,300,420,3,5
85,7,511,8,2,3,1,77,29,0,300,2,5
86,1,182,1,2,3,1,97,96,420,540,1,5
87,7,213,7,2,3,1,4,98,420,540,4,5
88,6,287,7,2,3,1,28,67,300,420,2,5
89,2,343,2,2,3,1,69,10,420,540,1,5
90,6,424,7,2,3,1,47,12,0,300,1,5
91,7,16,7,2,3,1,44,75,420,540,1,5
92,2,217,3,2,3,1,48,22,180,300,2,5
93,5,597,7,2,3,1,78,47,180,300,3,5
94,2,392,4,2,3,1,42,44,0,300,2,5
95,1,526,2,2,3,1,46,0,300,420,4,5
96,6,574,7,2,3,1,19,3,180,300,1,5
97,3,126,3,2,3,1,87,53,180,300,4,5
98,1,156,1,2,3,1,75,57,180,300,3,5
99,3,375,4,2,3,1,6,45,60,180,4,5
100,2,319,3,2,3,1,46,1,60,180,1,5
101,1,32,1,1,3,1,69,15,60,180,1,5
102,4,212,4,2,3,1,37,9,300,420,2,5
103,6,69,6,1,3,1,36,76,180,300,2,5
104,3,587,5,2,3,1,70,13,60,180,4,5
105,5,484,6,2,3,1,86,1,420,540,4,5
106,5,368,7,2,3,1,14,14,420,540,3,5
107,5,537,6,1,3,1,94,10,60,180,3,5
108,6,502,8,2,3,1,8,32,180,300,4,5
109,7,459,8,2,3,1,42,43,0,300,3,5
110,7,134,8,1,3,1,40,81,0,300,4,5
111,2,537,4,2,3,1,91,1,0,300,2,5
112,3,502,4,1,3,1,97,90,0,300,1,5
113,3,49,3,2,3,1,72,98,180,300,1,5
114,5,355,5,2,3,1,85,28,420,540,3,5
115,3,341,3,2,3,1,32,29,420,540,4,5
116,1,58,2,1,3,1,96,39,180,300,4,5
117,5,73,5,2,3,1,49,41,420,540,1,5
118,1,517,2,1,3,1,16,42,180,300,2,5
119,5,172,6,1,3,1,67,88,60,180,3,5
120,5,580,7,1,3,1,30,37,180,300,3,5
121,7,422,8,2,3,1,94,11,60,180,1,5
122,5,50,5,2,3,1,81,78,60,180,1,5
123,6,165,6,2,3,1,34,14,420,540,4,5
124,1,285,1,2,3,1,34,4,420,540,4,5
125,6,453,7,2,3,1,14,17,420,540,1,5
126,2,216,3,2,3,1,52,100,0,300,3,5
127,3,488,4,2,3,1,57,80,180,300,2,5
128,6,204,7,1,3,1,14,7,0,300,1,5
129,1,534,3,1,3,1,75,55,0,300,3,5
130,3,515,4,1,3,1,41,35,60,180,3,5
131,6,6,6,2,3,1,62,47,420,540,2,5
132,5,59,5,2,3,1,87,97,60,180,3,5
133,7,600,8,1,3,1,17,61,0,300,4,5
134,6,274,7,2,3,1,14,62,300,600,1,5
135,2,356,2,2,3,1,7,72,420,540,1,5
136,1,159,2,2,3,1,68,95,60,180,1,5
137,3,345,3,2,3,1,53,25,420,540,4,5
138,7,439,8,1,3,1,51,91,60,180,4,5
139,2,451,3,1,3,1,16,4,0,300,1,5
140,2,441,3,2,3,1,45,26,420,540,4,5
141,5,566,7,2,3,1,48,73,180,300,1,5
142,3,12,3,2,3,1,78,45,0,300,3,5
143,4,161,5,1,3,1,12,99,60,180,3,5
144,2,385,3,2,3,1,46,44,180,300,4,5
145,4,337,5,1,3,1,32,85,60,180,3,5
146,7,10,8,2,3,1,20,92,300,420,1,5
147,6,307,7,2,3,1,16,30,420,540,4,5
148,7,406,8,1,3,1,30,77,60,180,2,5
149,2,181,2,2,3,1,18,41,420,540,4,5
150,4,103,4,2,3,1,83,85,300,600,4,5
151,4,2,5,2,3,1,11,34,60,180,2,5
152,5,123,5,2,3,1,77,53,300,420,3,5
153,7,527,9,2,3,1,75,60,420,540,1,5
154,7,331,8,2,3,1,61,46,180,300,3,5
155,5,38,6,2,3,1,39,23,0,300,4,5
156,1,244,1,2,3,1,86,36,300,600,1,5
157,4,26,5,1,3,1,62,56,180,300,4,5
158,7,184,7,2,3,1,48,69,420,540,1,5
159,4,100,5,2,3,1,18,66,0,300,4,5
160,5,262,7,2,3,1,8,100,420,540,3,5
161,6,191,7,2,3,1,65,70,420,540,3,5
162,5,534,6,2,3,1,22,39,180,300,1,5
163,1,147,1,2,3,1,34,45,180,300,2,5
164,1,16,1,2,3,1,52,88,180,300,2,5
165,1,294,1,2,3,1,96,63,420,540,2,5
166,6,218,6,2,3,1,3,94,420,540,1,5
167,1,251,2,2,3,1,81,27,180,300,4,5
168,1,563,2,1,3,1,15,29,60,180,2,5
169,3,52,3,2,3,1,67,7,420,540,1,5
170,1,426,3,1,3,1,49,91,180,300,1,5
171,4,379,4,2,3,1,63,52,420,540,4,5
172,3,435,4,2,3,1,63,10,60,180,3,5
173,2,94,2,2,3,1,13,100,420,540,4,5
174,3,217,4,2,3,1,30,98,300,420,2,5
175,3,501,4,1,3,1,99,74,180,300,4,5
176,1,178,2,2,3,1,29,51,0,300,2,5
177,6,598,7,1,3,1,54,92,60,180,1,5
178,5,430,6,1,3,1,74,62,60,180,1,5
179,4,102,4,2,3,1,6,20,180,300,4,5
180,3,174,5,2,3,1,11,10,300,420,3,5
181,3,466,4,2,3,1,90,86,300,420,1,5
182,6,183,6,2,3,1,13,39,300,600,1,5
183,4,60,4,2,3,1,64,100,420,540,3,5
184,4,137,4,2,3,1,72,76,420,540,4,5
185,1,220,2,2,3,1,67,76,180,300,3,5
186,6,473,7,2,3,1,4,13,0,300,1,5
187,7,116,8,2,3,1,56,70,420,540,4,5
188,7,516,9,1,3,1,10,76,180,300,1,5
189,3,86,4,2,3,1,70,95,180,300,3,5
190,4,126,5,1,3,1,13,72,60,180,4,5
191,7,272,7,2,3,1,30,68,300,600,4,5
192,4,328,4,2,3,1,62,69,420,540,3,5
193,7,399,7,2,3,1,72,82,420,540,4,5
194,1,258,1,2,3,1,67,46,420,540,2,5
195,5,115,6,2,3,1,99,94,300,600,4,5
196,4,514,5,2,3,1,72,48,300,420,4,5
197,3,0,4,2,3,1,2,30,300,420,3,5
198,6,146,6,2,3,1,80,27,180,300,3,5
199,2,88,2,2,3,1,21,71,420,540,1,5
200,7,289,7,2,3,1,6,31,300,420,3,5
201,4,72,4,1,3,1,78,43,180,300,4,5
202,4,218,5,2,3,1,61,40,180,300,4,5
203,6,530,8,2,3,1,60,3,0,300,3,5
204,3,291,4,2,3,1,63,50,420,540,4,5
205,3,181,3,2,3,1,94,71,420,540,2,5
206,2,561,4,2,3,1,24,12,0,300,1,5
207,2,191,2,2,3,1,27,9,300,420,4,5
208,6,534,8,2,3,1,35,2,0,300,3,5
209,3,594,5,2,3,1,39,43,0,300,3,5
210,4,353,4,2,3,1,89,63,420,540,4,5
211,4,250,5,1,3,1,61,69,0,300,2,5
212,7,100,8,2,3,1,68,16,420,540,1,5
213,3,13,4,2,3,1,9,49,420,540,2,5
214,3,387,4,2,3,1,92,34,300,420,3,5
215,7,570,9,2,3,1,35,99,420,540,3,5
216,3,438,5,1,3,1,84,72,0,300,2,5
217,2,469,4,2,3,1,86,33,60,180,2,5
218,1,295,1,2,3,1,87,60,420,540,3,5
219,3,69,4,2,3,1,47,99,0,300,2,5
220,7,105,7,2,3,1,93,59,180,300,1,5
221,6,161,6,2,3,1,99,58,300,420,3,5
222,7,292,7,2,3,1,96,18,420,540,3,5
223,7,143,8,2,3,1,84,98,300,420,4,5
224,2,481,4,2,3,1,88,84,60,180,4,5
225,2,22,3,2,3,1,78,80,60,180,2,5
226,5,259,5,2,3,1,25,21,300,420,2,5
227,4,452,5,2,3,1,92,63,420,540,3,5
228,1,48,1,1,3,1,43,69,60,180,2,5
229,2,440,3,2,3,1,66,36,420,540,4,5
230,1,136,1,1,3,1,76,14,180,300,1,5
231,4,48,5,1,3,1,82,10,180,300,4,5
232,4,217,5,2,3,1,62,26,180,300,2,5
233,2,598,3,1,3,1,21,89,60,180,3,5
234,6,519,7,2,3,1,17,50,60,180,2,5
235,7,58,7,1,3,1,41,80,60,180,4,5
236,1,292,2,2,3,1,47,87,300,420,2,5
237,5,79,5,1,3,1,96,67,180,300,3,5
238,2,561,4,2,3,1,90,34,300,420,3,5
239,1,175,1,2,3,1,13,52,180,300,3,5
240,2,105,2,1,3,1,96,47,180,300,1,5
241,5,391,7,1,3,1,23,32,60,180,1,5
242,7,502,9,1,3,1,53,72,180,300,1,5
243,7,322,7,2,3,1,19,17,420,540,1,5
244,2,68,2,2,3,1,44,81,420,540,4,5
245,3,570,5,1,3,1,87,84,60,180,1,5
246,5,44,6,1,3,1,45,20,180,300,4,5
247,3,262,4,1,3,1,46,86,60,180,1,5
248,6,392,6,2,3,1,59,8,420,540,4,5
249,3,0,3,2,3,1,98,92,300,420,4,5
250,4,48,5,2,3,1,56,53,300,600,3,5
251,3,459,4,2,3,1,98,14,180,300,2,5
252,3,454,4,1,3,1,57,53,60,180,2,5
253,6,548,8,1,3,1,11,17,180,300,4,5
254,3,30,3,2,3,1,16,35,420,540,2,5
255,7,529,8,2,3,1,53,31,420,540,1,5
256,7,461,8,2,3,1,68,76,180,300,1,5
257,2,364,3,2,3,1,23,18,180,300,1,5
258,1,161,1,1,3,1,46,77,180,300,1,5
259,1,599,2,2,3,1,63,71,180,300,3,5
260,2,481,4,2,3,1,19,53,180,300,2,5
261,2,403,2,2,3,1,8,47,420,540,4,5
262,2,596,3,1,3,1,81,14,0,300,4,5
263,7,174,8,2,3,1,40,68,420,540,4,5
264,1,130,1,1,3,1,98,97,180,300,3,5
265,6,272,7,2,3,1,56,90,0,300,4,5
266,2,359,2,2,3,1,53,37,420,540,1,5
267,7,276,7,2,3,1,41,76,300,600,3,5
268,2,218,3,2,3,1,74,54,60,180,4,5
269,4,519,5,2,3,1,4,3,180,300,2,5
270,5,513,6,1,3,1,98,99,180,300,4,5
271,5,434,6,2,3,1,52,47,420,540,1,5
272,6,504,7,2,3,1,89,60,0,300,2,5
273,3,421,5,2,3,1,1,12,60,180,2,5
274,1,56,1,1,3,1,77,27,60,180,1,5
275,2,477,4,1,3,1,33,62,60,180,4,5
276,4,573,6,2,3,1,28,59,60,180,4,5
277,1,411,1,2,3,1,82,6,420,540,4,5
278,3,440,5,2,3,1,7,39,300,600,2,5
279,3,480,4,2,3,1,36,55,180,300,3,5
280,7,345,8,2,3,1,21,37,300,420,3,5
281,6,445,8,2,3,1,59,56,180,300,2,5
282,2,178,2,2,3,1,28,99,300,600,3,5
283,4,5,5,2,3,1,93,64,300,420,2,5
284,5,134,5,2,3,1,39,63,420,540,1,5
285,4,251,4,2,3,1,76,89,420,540,4,5
286,7,97,8,2,3,1,76,29,180,300,2,5
287,4,553,6,2,3,1,59,15,420,540,3,5
288,3,33,4,2,3,1,68,98,0,300,2,5
289,5,315,6,2,3,1,11,33,180,300,4,5
290,7,97,7,2,3,1,68,75,180,300,3,5
291,3,491,5,2,3,1,27,75,180,300,4,5
292,2,441,3,2,3,1,94,95,60,180,2,5
293,4,488,5,1,3,1,50,36,60,180,2,5
294,7,77,8,2,3,1,62,6,60,180,1,5
295,7,38,9,1,3,1,86,3,0,300,3,5
296,6,308,6,2,3,1,12,87,420,540,3,5
297,6,138,6,2,3,1,99,95,180,300,1,5
298,7,290,7,2,3,1,46,78,420,540,2,5
299,2,542,3,2,3,1,13,9,420,540,3,5
300,2,61,2,2,3,1,64,69,300,600,4,5
301,4,78,4,1,3,1,87,64,180,300,3,5
302,5,25,6,2,3,1,26,87,180,300,3,5
303,3,382,5,2,3,1,91,30,60,180,2,5
304,2,522,4,2,3,1,53,90,0,300,3,5
305,5,278,5,2,3,1,94,80,420,540,1,5
306,2,70,3,2,3,1,84,99,60,180,2,5
307,3,559,4,2,3,1,4,4,300,600,3,5
308,3,321,4,1,3,1,51,17,0,300,1,5
309,3,238,4,2,3,1,16,70,300,420,4,5
310,1,234,1,2,3,1,53,89,420,540,2,5
311,3,68,5,2,3,1,88,8,300,420,1,5
312,5,170,6,2,3,1,37,71,300,420,4,5
313,6,409,6,2,3,1,69,42,420,540,2,5
314,4,166,5,2,3,1,95,71,180,300,4,5
315,6,211,7,1,3,1,43,26,60,180,3,5
316,3,535,4,2,3,1,17,72,180,300,1,5
317,2,474,3,2,3,1,83,19,0,300,4,5
318,1,277,2,1,3,1,39,26,60,180,3,5
319,2,360,3,2,3,1,30,87,300,420,1,5
320,4,567,5,2,3,1,30,48,420,540,4,5
321,2,3,2,2,3,1,84,73,300,600,4,5
322,5,0,5,1,3,1,34,98,60,180,3,5
323,5,57,5,2,3,1,99,5,300,600,3,5
324,6,380,6,2,3,1,32,94,420,540,1,5
325,7,118,8,1,3,1,35,38,60,180,3,5
326,2,570,3,2,3,1,48,74,420,540,2,5
327,4,557,5,2,3,1,76,33,60,180,2,5
328,1,539,3,2,3,1,58,45,0,300,1,5
329,6,314,6,2,3,1,72,79,420,540,3,5
330,1,258,2,1,3,1,28,12,0,300,3,5
331,5,8,5,1,3,1,73,33,60,180,2,5
332,5,295,5,2,3,1,11,18,300,600,4,5
333,6,330,6,2,3,1,92,7,420,540,3,5
334,7,220,8,1,3,1,7,20,180,300,2,5
335,4,181,4,2,3,1,66,29,300,420,4,5
336,4,333,5,2,3,1,44,64,60,180,3,5
337,1,179,2,2,3,1,36,83,60,180,4,5
338,6,378,7,2,3,1,66,74,420,540,2,5
339,1,294,1,2,3,1,100,41,420,540,3,5
340,3,404,4,2,3,1,48,69,180,300,1,5
341,3,216,4,2,3,1,5,73,0,300,2,5
342,2,425,4,2,3,1,19,24,0,300,3,5
343,6,100,6,2,3,1,72,69,420,540,2,5
344,5,565,6,2,3,1,99,47,0,300,4,5
345,3,1,3,2,3,1,89,13,60,180,2,5
346,5,360,6,1,3,1,69,53,0,300,1,5
347,4,489,5,2,3,1,52,30,60,180,1,5
348,7,580,9,2,3,1,52,52,180,300,1,5
349,2,305,3,2,3,1,86,77,0,300,1,5
350,7,101,8,1,3,1,70,31,0,300,2,5
351,7,593,9,1,3,1,48,81,60,180,1,5
352,4,102,4,1,3,1,20,3,180,300,2,5
353,6,103,7,2,3,1,92,3,60,180,2,5
354,7,568,9,2,3,1,92,44,0,300,4,5
355,2,426,4,2,3,1,99,2,60,180,2,5
356,4,318,4,2,3,1,21,57,420,540,1,5
357,3,94,3,2,3,1,92,6,180,300,4,5
358,6,65,7,2,3,1,58,4,180,300,1,5
359,1,338,1,2,3,1,94,96,420,540,3,5
360,2,384,2,2,3,1,57,32,420,540,2,5
361,2,453,4,2,3,1,57,49,420,540,4,5
362,3,432,5,2,3,1,35,37,180,300,3,5
363,1,334,1,2,3,1,83,69,420,540,1,5
364,2,40,2,2,3,1,14,65,60,180,3,5
365,3,136,3,2,3,1,93,45,420,540,2,5
366,1,43,1,2,3,1,18,54,0,300,2,5
367,2,165,2,1,3,1,62,25,180,300,3,5
368,4,567,6,2,3,1,12,93,300,420,3,5
369,4,186,4,2,3,1,0,70,420,540,2,5
370,3,170,4,2,3,1,79,69,420,540,1,5
371,2,182,2,2,3,1,75,19,420,540,1,5
372,7,350,8,2,3,1,92,73,300,420,1,5
373,1,465,2,2,3,1,72,15,0,300,2,5
374,2,113,3,2,3,1,34,53,0,300,1,5
375,4,534,5,2,3,1,99,21,0,300,2,5
376,1,376,2,2,3,1,56,63,180,300,2,5
377,3,123,4,2,3,1,53,80,0,300,1,5
378,3,86,3,1,3,1,77,71,180,300,4,5
379,7,312,7,2,3,1,9,100,420,540,3,5
380,2,19,3,2,3,1,22,32,420,540,1,5
381,1,70,2,2,3,1,15,17,0,300,1,5
382,5,349,5,2,3,1,76,71,420,540,2,5
383,5,124,5,2,3,1,39,94,300,420,4,5
384,5,439,6,1,3,1,75,66,0,300,2,5
385,3,383,3,2,3,1,100,95,420,540,2,5
386,4,410,5,2,3,1,28,57,60,180,4,5
387,4,215,4,2,3,1,94,55,420,540,1,5
388,6,480,8,2,3,1,73,50,180,300,2,5
389,3,298,4,2,3,1,26,71,60,180,4,5
390,7,175,8,2,3,1,10,93,60,180,4,5
391,2,513,4,2,3,1,73,72,0,300,4,5
392,1,456,2,2,3,1,15,98,0,300,1,5
393,1,222,1,2,3,1,75,23,420,540,2,5
394,5,354,5,2,3,1,30,3,420,540,1,5
395,5,78,5,2,3,1,11,21,300,420,4,5
396,4,567,6,2,3,1,15,85,180,300,1,5
397,5,340,5,2,3,1,42,38,420,540,2,5
398,3,208,3,2,3,1,3,100,420,540,3,5
399,2,159,2,1,3,1,41,98,180,300,3,5
400,2,176,2,2,3,1,93,87,180,300,1,5
401,5,111,5,2,3,1,41,54,420,540,1,5
402,4,491,6,2,3,1,90,8,420,540,4,5
403,2,258,2,2,3,1,51,88,420,540,4,5
404,3,405,3,2,3,1,68,6,420,540,2,5
405,1,298,1,2,3,1,28,5,300,600,1,5
406,5,384,5,2,3,1,27,10,420,540,1,5
407,2,200,2,2,3,1,47,55,300,420,4,5
408,3,416,3,2,3,1,55,16,420,540,1,5
409,3,172,4,2,3,1,67,48,180,300,2,5
410,7,191,8,2,3,1,54,79,300,600,3,5
411,6,532,8,2,3,1,25,24,0,300,1,5
412,1,63,3,1,3,1,96,44,180,300,3,5
413,6,477,7,2,3,1,24,45,300,420,3,5
414,7,291,8,2,3,1,56,14,420,540,2,5
415,5,330,5,2,3,1,95,69,420,540,1,5
416,2,570,3,2,3,1,73,33,180,300,1,5
417,1,600,2,2,3,1,48,25,60,180,2,5
418,5,108,5,2,3,1,55,84,180,300,3,5
419,5,207,5,2,3,1,93,12,420,540,1,5
420,4,179,5,2,3,1,82,88,180,300,3,5
421,2,211,4,1,3,1,7,11,60,180,3,5
422,3,212,3,2,3,1,92,78,300,600,1,5
423,2,439,4,1,3,1,50,46,60,180,1,5
424,7,523,9,2,3,1,16,89,60,180,3,5
425,6,76,6,2,3,1,58,29,180,300,4,5
426,2,456,3,1,3,1,86,52,60,180,4,5
427,7,414,9,2,3,1,38,25,180,300,1,5
428,2,218,2,2,3,1,52,68,300,420,1,5
429,5,227,5,2,3,1,56,22,300,420,3,5
430,2,301,2,2,3,1,16,44,420,540,4,5
431,1,550,2,2,3,1,96,70,0,300,3,5
432,4,236,4,2,3,1,58,76,300,420,2,5
433,1,279,1,2,3,1,3,23,420,540,1,5
434,6,565,7,1,3,1,100,4,180,300,4,5
435,2,98,2,2,3,1,65,31,180,300,3,5
436,6,211,6,2,3,1,67,16,300,420,3,5
437,6,356,6,2,3,1,52,23,420,540,1,5
438,4,536,6,2,3,1,71,81,60,180,1,5
439,3,314,3,2,3,1,38,58,420,540,3,5
440,5,225,6,1,3,1,36,68,180,300,4,5
441,6,97,7,1,3,1,89,81,60,180,3,5
442,3,101,4,2,3,1,92,32,300,420,3,5
443,4,291,4,2,3,1,13,68,420,540,3,5
444,4,487,6,2,3,1,17,93,300,600,1,5
445,2,148,3,1,3,1,35,48,180,300,4,5
446,6,126,7,1,3,1,77,84,180,300,3,5
447,6,386,6,2,3,1,46,7,420,540,3,5
448,3,371,4,1,3,1,85,65,0,300,2,5
449,1,500,3,2,3,1,59,37,300,420,3,5
450,7,326,8,2,3,1,68,17,60,180,3,5
451,7,517,8,2,3,1,32,22,180,300,1,5
452,3,399,3,2,3,1,80,60,420,540,3,5
453,5,457,6,1,3,1,84,60,0,300,1,5
454,3,496,5,2,3,1,22,9,0,300,3,5
455,1,313,2,2,3,1,70,95,0,300,1,5
456,4,338,4,2,3,1,29,38,420,540,4,5
457,3,223,3,2,3,1,72,36,300,420,1,5
458,1,577,3,2,3,1,98,97,300,420,2,5
459,3,521,4,2,3,1,25,55,300,600,1,5
460,2,312,2,2,3,1,44,99,420,540,1,5
461,6,99,7,2,3,1,93,62,180,300,2,5
462,6,193,6,2,3,1,28,4,300,420,4,5
463,4,371,5,2,3,1,27,18,180,300,4,5
464,2,486,4,1,3,1,89,47,60,180,3,5
465,3,6,4,2,3,1,52,74,0,300,1,5
466,7,268,8,2,3,1,64,75,60,180,1,5
467,1,483,2,2,3,1,41,6,300,420,1,5
468,3,328,3,2,3,1,43,58,420,540,1,5
469,2,381,2,2,3,1,82,14,420,540,3,5
470,5,502,6,2,3,1,7,8,0,300,1,5
471,6,519,7,1,3,1,12,75,60,180,1,5
472,5,175,6,2,3,1,76,27,420,540,3,5
473,7,535,9,2,3,1,41,57,180,300,1,5
474,5,285,6,1,3,1,74,18,0,300,1,5
475,4,145,4,2,3,1,17,14,300,600,3,5
476,2,438,4,2,3,1,38,57,300,420,1,5
477,5,338,6,2,3,1,11,94,300,420,1,5
478,7,438,9,2,3,1,77,8,300,600,2,5
479,5,427,7,2,3,1,21,44,420,540,4,5
480,3,527,5,2,3,1,64,67,300,420,3,5
481,7,258,7,2,3,1,31,78,420,540,2,5
482,3,454,5,2,3,1,91,86,300,600,2,5
483,1,551,3,2,3,1,77,5,180,300,3,5
484,3,285,4,2,3,1,84,54,0,300,2,5
485,5,398,5,2,3,1,53,86,420,540,4,5
486,5,463,6,2,3,1,57,22,60,180,3,5
487,7,205,7,2,3,1,14,49,300,420,4,5
488,7,172,7,2,3,1,30,41,420,540,1,5
489,2,550,3,2,3,1,81,83,60,180,1,5
490,5,167,5,1,3,1,23,35,180,300,1,5
491,1,414,1,2,3,1,96,63,420,540,3,5
492,1,513,2,1,3,1,5,48,60,180,2,5
493,1,466,3,2,3,1,98,35,300,600,2,5
494,4,497,5,2,3,1,37,14,60,180,4,5
495,1,564,2,1,3,1,66,10,180,300,1,5
496,6,587,8,2,3,1,72,16,60,180,3,5
497,5,21,5,2,3,1,91,85,60,180,4,5
498,5,417,6,1,3,1,9,30,0,300,2,5
499,2,311,2,2,3,1,15,90,420,540,2,5
500,1,467,2,2,3,1,26,34,420,540,4,5
501,7,212,7,2,3,1,45,70,420,540,4,5
502,2,119,3,2,3,1,48,86,180,300,1,5
503,3,378,4,1,3,1,85,38,60,180,3,5
504,7,307,8,2,3,1,30,30,300,420,1,5
505,3,182,4,2,3,1,24,19,300,600,3,5
506,4,495,6,2,3,1,9,61,180,300,4,5
507,7,530,9,1,3,1,14,46,0,300,2,5
508,3,527,4,2,3,1,42,40,0,300,4,5
509,2,231,2,2,3,1,15,81,300,420,2,5
510,6,386,7,2,3,1,82,32,0,300,1,5
511,2,401,2,2,3,1,82,74,420,540,2,5
512,7,170,8,1,3,1,56,99,0,300,1,5
513,3,81,4,2,3,1,47,80,300,600,1,5
514,2,2,3,2,3,1,23,6,180,300,1,5
515,7,400,7,2,3,1,66,40,420,540,3,5
516,7,248,8,2,3,1,29,98,0,300,2,5
517,3,386,3,2,3,1,38,7,420,540,2,5
518,3,469,5,1,3,1,40,8,180,300,3,5
519,5,76,6,2,3,1,77,9,300,600,4,5
520,2,323,2,2,3,1,40,9,420,540,1,5
521,3,593,4,2,3,1,96,50,420,540,3,5
522,6,55,8,1,3,1,26,86,0,300,1,5
523,4,397,4,2,3,1,35,97,420,540,2,5
524,1,349,1,2,3,1,4,73,420,540,1,5
525,7,585,9,2,3,1,20,48,300,600,1,5
526,2,464,4,2,3,1,88,7,60,180,4,5
527,4,444,6,2,3,1,63,92,0,300,4,5
528,2,520,4,2,3,1,39,17,180,300,1,5
529,7,475,9,1,3,1,71,15,180,300,4,5
530,2,513,3,2,3,1,62,46,0,300,1,5
